Map Size: X Y Z
15 8 15

Map Dimensions: minW maxE minS maxN height
-1.5 10.5 -1.5 10.5 4
Camera Rotations:
SW: 40 45 0
SE: 40 315 0
NE: 40 225 0
NW: 40 135 0

Map Specs (i.e. walls, corners, etc): X Y Z | Type | TilePreset
12 1 6 | 20 | temp
14 1 6 | 11 | temp
14 1 1 | 22 | temp
14 1 2 | 22 | temp
14 1 3 | 22 | temp
14 1 4 | 22 | temp
14 1 5 | 22 | temp
11 2 0 | 14 | temp
12 2 0 | 23 | temp
13 2 0 | 23 | temp
14 2 0 | 13 | temp
11 2 1 | 21 | temp
11 2 2 | 21 | temp
11 2 3 | 21 | temp
11 2 4 | 21 | temp
11 2 5 | 21 | temp
11 2 6 | 12 | temp
12 2 6 | 20 | temp
13 2 6 | 20 | temp
14 2 6 | 11 | temp
14 2 1 | 22 | temp
14 2 2 | 22 | temp
14 2 3 | 22 | temp
14 2 4 | 22 | temp
14 2 5 | 22 | temp
12 3 1 | 1 | temp
13 3 1 | 1 | temp
12 3 2 | 1 | temp
13 3 2 | 1 | temp
12 3 3 | 1 | temp
13 3 3 | 1 | temp
13 3 4 | 1 | temp
13 3 5 | 1 | temp
11 4 0 | 18 | temp
12 4 0 | 27 | temp
13 4 0 | 27 | temp
14 4 0 | 17 | temp
11 4 1 | 25 | temp
11 4 2 | 25 | temp
11 4 3 | 25 | temp
13 4 6 | 24 | temp
14 4 6 | 15 | temp
14 4 1 | 26 | temp
14 4 2 | 26 | temp
14 4 3 | 26 | temp
14 4 4 | 26 | temp
14 4 5 | 26 | temp
12 4 6 | 22 | temp
12 4 4 | 13 | temp
11 4 4 | 23 | temp
12 4 1 | 2 | temp
13 4 1 | 2 | temp
12 4 2 | 2 | temp
13 4 2 | 2 | temp
12 4 3 | 2 | temp
13 4 3 | 2 | temp
13 4 4 | 2 | temp
13 4 5 | 2 | temp
//Condo
3 0 10 | 10 | temp
3 0 11 | 4 | temp
3 0 12 | 4 | temp
3 0 13 | 4 | temp
3 0 14 | 8 | temp
4 0 14 | 3 | temp
5 0 14 | 3 | temp
6 0 14 | 3 | temp
5 0 10 | 6 | temp
6 0 10 | 4 | temp
7 0 10 | 5 | temp
6 0 11 | 4 | temp
7 0 11 | 7 | temp
7 0 14 | 7 | temp
7 0 13 | 5 | temp
7 0 12 | 5 | temp
3 1 10 | 14 | temp
3 1 11 | 21 | temp
3 1 12 | 21 | temp
3 1 13 | 21 | temp
3 1 14 | 12 | temp
4 1 14 | 20 | temp
5 1 14 | 20 | temp
6 1 14 | 20 | temp
5 1 10 | 23 | temp
6 1 10 | 21 | temp
7 1 10 | 22 | temp
6 1 11 | 21 | temp
7 1 11 | 11 | temp
7 1 14 | 11 | temp
7 1 13 | 22 | temp
7 1 12 | 22 | temp
4 2 10 | 6 | temp
4 2 11 | 1 | temp
4 2 12 | 1 | temp
4 2 13 | 1 | temp
5 2 11 | 1 | temp
5 2 12 | 1 | temp
5 2 13 | 1 | temp
6 2 12 | 1 | temp
6 2 13 | 1 | temp
5 2 10 | 6 | temp
6 2 10 | 6 | temp
7 2 10 | 13 | temp
6 2 11 | 1 | temp
7 2 11 | 5 | temp
7 2 12 | 5 | temp
7 2 13 | 5 | temp
7 2 14 | 7 | temp
3 2 10 | 10 | temp
3 2 11 | 1 | temp
3 2 12 | 4 | temp
3 2 13 | 4 | temp
3 2 14 | 8 | temp
4 2 14 | 3 | temp
5 2 14 | 3 | temp
6 2 14 | 3 | temp
2 2 10 | 10 | temp
2 2 11 | 8 | temp
4 3 10 | 27 | temp
4 3 11 | 2 | temp
4 3 12 | 2 | temp
4 3 13 | 2 | temp
5 3 11 | 2 | temp
5 3 12 | 2 | temp
5 3 13 | 2 | temp
6 3 12 | 2 | temp
6 3 13 | 2 | temp
5 3 10 | 27 | temp
6 3 10 | 27 | temp
7 3 10 | 17 | temp
6 3 11 | 2 | temp
7 3 11 | 26 | temp
7 3 12 | 26 | temp
7 3 13 | 26 | temp
7 3 14 | 15 | temp
3 3 10 | 18 | temp
3 3 11 | 2 | temp
3 3 12 | 25 | temp
3 3 13 | 25 | temp
3 3 14 | 16 | temp
4 3 14 | 24 | temp
5 3 14 | 24 | temp
6 3 14 | 24 | temp
//Apartments
8 0 11 | 4 | temp
8 0 12 | 4 | temp
8 0 13 | 4 | temp
8 0 14 | 8 | temp
9 0 14 | 7 | temp
10 0 14 | 3 | temp
11 0 14 | 3 | temp
12 0 14 | 8 | temp
13 0 14 | 3 | temp
14 0 14 | 7 | temp
14 0 13 | 5 | temp
14 0 12 | 5 | temp
14 0 11 | 5 | temp
14 0 10 | 9 | temp
13 0 10 | 6 | temp
12 0 10 | 10 | temp
10 0 10 | 6 | temp
9 0 10 | 6 | temp
8 0 10 | 10 | temp
12 0 12 | 4 | temp
12 0 13 | 4 | temp
9 0 13 | 5 | temp
9 0 12 | 5 | temp
9 0 11 | 5 | temp
10 0 11 | 6 | temp
10 0 12 | 28 | temp
10 1 13 | 32 | temp
8 2 11 | 4 | temp
8 2 12 | 4 | temp
8 2 13 | 4 | temp
8 2 14 | 8 | temp
9 2 14 | 7 | temp
10 2 14 | 3 | temp
11 2 14 | 3 | temp
12 2 14 | 8 | temp
13 2 14 | 3 | temp
14 2 14 | 7 | temp
14 2 13 | 5 | temp
14 2 12 | 5 | temp
14 2 11 | 5 | temp
14 2 10 | 9 | temp
13 2 10 | 6 | temp
12 2 10 | 10 | temp
11 2 10 | 6 | temp
10 2 10 | 6 | temp
9 2 10 | 6 | temp
8 2 10 | 10 | temp
12 2 12 | 4 | temp
12 2 13 | 4 | temp
9 2 13 | 5 | temp
9 2 12 | 5 | temp
9 2 11 | 5 | temp
10 2 11 | 6 | temp
10 2 12 | 28 | temp
10 3 13 | 32 | temp
8 4 11 | 4 | temp
8 4 12 | 4 | temp
8 4 13 | 4 | temp
8 4 14 | 8 | temp
9 4 14 | 7 | temp
10 4 14 | 3 | temp
11 4 14 | 3 | temp
12 4 14 | 8 | temp
13 4 14 | 3 | temp
14 4 14 | 7 | temp
14 4 13 | 5 | temp
14 4 12 | 5 | temp
14 4 11 | 5 | temp
14 4 10 | 9 | temp
13 4 10 | 6 | temp
12 4 10 | 10 | temp
11 4 10 | 6 | temp
10 4 10 | 6 | temp
9 4 10 | 6 | temp
8 4 10 | 10 | temp
12 4 12 | 4 | temp
12 4 13 | 4 | temp
9 4 13 | 5 | temp
9 4 12 | 5 | temp
9 4 11 | 5 | temp
10 4 11 | 6 | temp
10 4 12 | 28 | temp
10 5 13 | 32 | temp
8 6 11 | 4 | temp
8 6 12 | 4 | temp
8 6 13 | 4 | temp
8 6 14 | 8 | temp
9 6 14 | 7 | temp
10 6 14 | 3 | temp
11 6 14 | 3 | temp
12 6 14 | 3 | temp
13 6 14 | 3 | temp
14 6 14 | 7 | temp
14 6 13 | 5 | temp
14 6 12 | 5 | temp
14 6 11 | 5 | temp
14 6 10 | 9 | temp
13 6 10 | 6 | temp
12 6 10 | 10 | temp
11 6 10 | 6 | temp
10 6 10 | 6 | temp
9 6 10 | 6 | temp
8 6 10 | 10 | temp
12 6 11 | 4 | temp
12 6 12 | 4 | temp
12 6 13 | 4 | temp
9 6 13 | 5 | temp
9 6 12 | 5 | temp
10 6 12 | 6 | temp
9 6 11 | 1 | temp
10 6 11 | 1 | temp
11 6 11 | 1 | temp
